,HashWord,Frequency,State
871,playing,17,Telangana
872,express,17,Telangana
873,wave,16,Telangana
874,lb,16,Telangana
875,coverage,16,Telangana
876,loose,16,Telangana
877,#telanganaelectionswithhmtv,16,Telangana
878,else,16,Telangana
879,#rajasthanelection2018,16,Telangana
880,arrested,16,Telangana
881,#amitshah,16,Telangana
882,debate,16,Telangana
883,experience,16,Telangana
884,whole,16,Telangana
885,symbol,16,Telangana
886,built,16,Telangana
887,learn,16,Telangana
888,stands,16,Telangana
889,especially,16,Telangana
890,son,16,Telangana
891,tiger,16,Telangana
892,winner,16,Telangana
893,report,16,Telangana
894,#democracy,16,Telangana
895,heart,16,Telangana
896,retweet,16,Telangana
897,#dec11withtimesnow,16,Telangana
898,#noexcusesday,16,Telangana
899,father,16,Telangana
900,released,16,Telangana
901,plus,16,Telangana
902,mailardevpally,16,Telangana
903,deleted,16,Telangana
904,influence,16,Telangana
905,view,16,Telangana
906,#nagarjuna,16,Telangana
907,issue,16,Telangana
908,#kcrfailed,16,Telangana
909,blets,16,Telangana
910,krishna,16,Telangana
911,sonia,16,Telangana
912,#apcm,16,Telangana
913,bjps,16,Telangana
914,talking,16,Telangana
915,little,16,Telangana
916,@ktroffice,16,Telangana
917,race,16,Telangana
918,@rshivshankar,16,Telangana
919,except,16,Telangana
920,entire,16,Telangana
921,addressing,16,Telangana
922,workers,16,Telangana
923,open,16,Telangana
924,waste,16,Telangana
925,nd,16,Telangana
926,pappu,16,Telangana
927,knows,16,Telangana
928,rama,16,Telangana
929,strongly,16,Telangana
930,youngest,16,Telangana
931,grand,16,Telangana
932,happen,16,Telangana
933,wonder,15,Telangana
934,lotus,15,Telangana
935,paid,15,Telangana
936,930,15,Telangana
937,celebs,15,Telangana
938,land,15,Telangana
939,#voteforprajakutami,15,Telangana
940,#dec07#tdp,15,Telangana
941,promised,15,Telangana
942,luck,15,Telangana
943,httpstcos7za7dcme4#prajakutami,15,Telangana
944,#voteforbalkasuman,15,Telangana
945,srinivas,15,Telangana
946,standing,15,Telangana
947,region,15,Telangana
948,#serilingampally,15,Telangana
949,villages,15,Telangana
950,#chattisgarh,15,Telangana
951,cps,15,Telangana
952,#soniagandhi,15,Telangana
953,#telangana2018,15,Telangana
954,#cpm,15,Telangana
955,hour,15,Telangana
956,expecting,15,Telangana
957,#trsagain,15,Telangana
958,#ktrtrs,15,Telangana
959,largest,15,Telangana
960,found,15,Telangana
961,#exitpolls2018,15,Telangana
962,officer,15,Telangana
963,plz,15,Telangana
964,cross,15,Telangana
965,attended,15,Telangana
966,bro,15,Telangana
967,stations,15,Telangana
968,outside,15,Telangana
969,#lankadinakar,15,Telangana
970,republic,15,Telangana
971,@reddyvprs,15,Telangana
972,317,15,Telangana
973,sisters,15,Telangana
974,price,15,Telangana
975,educated,15,Telangana
976,appeasement,15,Telangana
977,#andhra,15,Telangana
978,#gajwel,15,Telangana
979,seeing,15,Telangana
980,#naralokesh,15,Telangana
981,#voteisresponsibility,15,Telangana
982,third,15,Telangana
983,wise,15,Telangana
984,dreams,15,Telangana
985,schools,15,Telangana
986,mandate,15,Telangana
987,thinking,15,Telangana
988,try,15,Telangana
989,protest,15,Telangana
990,scamgress,15,Telangana
991,crowd,15,Telangana
992,5617,15,Telangana
993,underway,15,Telangana
994,#assemblyelections,15,Telangana
995,#tdpleaders,15,Telangana
996,hi,14,Telangana
997,details,14,Telangana
998,partys,14,Telangana
999,@abntelugutv,14,Telangana
1000,age,14,Telangana
1001,trends,14,Telangana
1002,makes,14,Telangana
1003,#electionday,14,Telangana
1004,god,14,Telangana
1005,bif,14,Telangana
1006,#dec11withvenkatakrishna,14,Telangana
1007,general,14,Telangana
1008,livehttpstcosujotyvbm3,14,Telangana
1009,four,14,Telangana
1010,#government,14,Telangana
1011,shastripuram,14,Telangana
1012,helping,14,Telangana
1013,karnataka,14,Telangana
1014,none,14,Telangana
1015,#kcrranaway,14,Telangana
1016,spent,14,Telangana
1017,20,14,Telangana
1018,joke,14,Telangana
1019,agree,14,Telangana
1020,nizamabad,14,Telangana
1021,#venkatakrishna,14,Telangana
1022,interested,14,Telangana
1023,#dec11withap24x7live,14,Telangana
1024,soon,14,Telangana
1025,#dec11electionresults,14,Telangana
1026,reports,14,Telangana
1027,polled,14,Telangana
1028,pulse,14,Telangana
1029,response,14,Telangana
1030,status,14,Telangana
1031,@btrktr,14,Telangana
1032,extended,14,Telangana
1033,#righttovote,14,Telangana
1034,sentiment,14,Telangana
1035,projects,14,Telangana
1036,swing,14,Telangana
1037,role,14,Telangana
1038,@iamnagarjuna,14,Telangana
1039,21,14,Telangana
1040,cg,14,Telangana
1041,credibility,14,Telangana
1042,rural,14,Telangana
1043,mark,14,Telangana
1044,etc,14,Telangana
1045,forward,14,Telangana
1046,matter,14,Telangana
1047,announced,14,Telangana
1048,#moosapeta#mothinagar#allapur,14,Telangana
1049,month,14,Telangana
1050,ga,14,Telangana
1051,octopus,14,Telangana
1052,effect,14,Telangana
1053,brothers,14,Telangana
1054,exclusive,14,Telangana
1055,#verdicttelangana,14,Telangana
1056,#vktimes,14,Telangana
1057,click,14,Telangana
1058,though,14,Telangana
1059,count,14,Telangana
1060,ive,14,Telangana
1061,persons,14,Telangana
1062,community,14,Telangana
